Recipe,Proteins (g),Carbohydrates (g),,Ingredients
Chicken Salad,30,10,,"Chicken, Lettuce, Tomato, Cucumber, Olive Oil"
Beef Stir Fry,35,20,,"Beef, Bell Peppers, Broccoli, Soy Sauce, Garlic"
Vegetable Soup,5,15,,"Carrots, Celery, Onion, Vegetable Broth, Herbs"
Pasta Primavera,8,40,,"Pasta, Zucchini, Bell Peppers, Olive Oil, Parmesan"
Quinoa Bowl,15,30,,"Quinoa, Black Beans, Corn, Avocado, Lime"
Omelette,12,2,,"Eggs, Spinach, Cheese, Onion, Pepper"
Grilled Salmon,25,0,,"Salmon, Lemon, Garlic, Olive Oil, Dill"
Chickpea Curry,12,45,,"Chickpeas, Coconut Milk, Curry Powder, Spinach, Rice"
Tofu Stir Fry,10,20,,"Tofu, Broccoli, Carrots, Soy Sauce, Ginger"
Shrimp Tacos,20,25,,"Shrimp, Corn Tortillas, Cabbage, Lime, Cilantro"
Lentil Salad,18,30,,"Lentils, Cucumber, Tomato, Feta, Olive Oil"
Stuffed Peppers,15,35,,"Bell Peppers, Ground Beef, Rice, Tomato Sauce, Cheese"
Egg Fried Rice,10,50,,"Rice, Eggs, Peas, Carrots, Soy Sauce"
Chicken Quesadilla,25,40,,"Chicken, Tortillas, Cheese, Salsa, Bell Peppers"
Beef Tacos,30,30,,"Ground Beef, Tortillas, Lettuce, Tomato, Cheese"
Vegetable Stir Fry,5,25,,"Mixed Vegetables, Soy Sauce, Garlic, Ginger, Olive Oil"
Baked Ziti,12,55,,"Ziti Pasta, Marinara Sauce, Cheese, Ground Beef, Herbs"
Fish Tacos,22,28,,"White Fish, Tortillas, Cabbage, Lime, Avocado"
Pork Chops,28,0,,"Pork Chops, Olive Oil, Garlic, Herbs"
Greek Yogurt Parfait,10,20,,"Greek Yogurt, Granola, Berries, Honey"
Cauliflower Rice Bowl,4,10,,"Cauliflower, Olive Oil, Garlic, Peas, Carrots"
Black Bean Burger,15,35,,"Black Beans, Bread Bun, Lettuce, Tomato, Avocado"
Turkey Sandwich,25,40,,"Turkey, Bread, Lettuce, Tomato, Mayo"
Caprese Salad,7,4,,"Tomatoes, Mozzarella, Basil, Olive Oil, Balsamic"
Pasta Salad,8,42,,"Pasta, Cherry Tomatoes, Olive Oil, Basil, Cheese"
Lamb Curry,30,15,,"Lamb, Curry Powder, Coconut Milk, Spinach, Rice"
Sushi Rolls,15,60,,"Sushi Rice, Nori, Cucumber, Avocado, Fish"
Veggie Burger,12,30,,"Vegetable Patty, Bread Bun, Lettuce, Tomato, Pickles"
Minestrone Soup,8,20,,"Pasta, Beans, Vegetables, Tomato, Broth"
Chicken Alfredo,20,50,,"Fettuccine, Chicken, Alfredo Sauce, Parmesan"
Beef Stroganoff,28,35,,"Beef, Mushrooms, Sour Cream, Egg Noodles, Onion"
Pasta Carbonara,15,60,,"Pasta, Bacon, Eggs, Parmesan, Black Pepper"
Fruit Smoothie,5,30,,"Banana, Yogurt, Berries, Honey, Spinach"
Mushroom Risotto,10,38,,"Arborio Rice, Mushrooms, Broth, Parmesan, Onion"
Cobb Salad,25,10,,"Chicken, Bacon, Eggs, Lettuce, Blue Cheese"
Eggplant Parmesan,15,25,,"Eggplant, Marinara Sauce, Cheese, Breadcrumbs"
Chicken Noodle Soup,20,15,,"Chicken, Noodles, Carrots, Celery, Broth"
Tuna Salad,28,5,,"Tuna, Mayonnaise, Celery, Onion, Lettuce"
Spaghetti Bolognese,22,40,,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic"
Quiche,15,20,,"Eggs, Cheese, Spinach, Pie Crust, Onion"
BBQ Pulled Pork,30,15,,"Pork, BBQ Sauce, Buns, Coleslaw"
